id,title,field_id,field_blue,field_red,reference-taxonomy_term-field_generation,reference-media-field_featured_media,reference-taxonomy_term-field_types,reference-taxonomy_term-field_weaknesses,author,slug
1,Bulbizarre,1,"Il y a une graine sur son dos depuis sa naissance. Elle grossit un peu chaque jour.","Quand il est jeune, il absorbe les nutriments conservés dans son dos pour grandir et se développer.",generation:1,image:10,type:10|type:14,type:7|type:15|type:8|type:12,5,/pokemon/generation-1/bulbizarre
2,Herbizarre,2,"Son bulbe dorsal est devenu si gros qu'il ne peut plus se tenir sur ses pattes postérieures.","La lumière du soleil le rend plus fort et vigoureux. Le bulbe sur son dos grossit en conséquence.",generation:1,image:11,type:10|type:14,type:7|type:15|type:8|type:12,5,/pokemon/generation-1/herbizarre
3,Florizarre,3,"Sa plante donne une grosse fleur quand elle absorbe les rayons du soleil. Il est toujours à la recherche des endroits les plus ensoleillés.","Une douce senteur émane de sa plante. Cette fragrance calme tous ceux qui sont engagés dans un combat.",generation:1,image:12,type:10|type:14,type:7|type:15|type:8|type:12,5,/pokemon/generation-1/florizarre
4,Salamèche,4,"Il préfère ce qui est chaud. En cas de pluie, de la vapeur se forme autour de sa queue.","Depuis sa naissance, une petite flamme brûle au bout de sa queue. Si cette flamme s'éteint, la vie de ce Pokémon s'éteindra elle aussi.",generation:1,image:13,type:7,type:11|type:16|type:18,6,/pokemon/generation-1/salameche
5,Reptincel,5,"Il est très brutal. En combat, il se sert de ses griffes acérées et de sa queue enflammée pour mettre en pièces ses adversaires.","S'il s'excite pendant un combat, il crache de grandes flammes, brûlant tout ce qui se trouve aux alentours.",generation:1,image:14,type:7,type:11|type:16|type:18,6,/pokemon/generation-1/reptincel
6,Dracaufeu,6,"Son souffle brûlant peut faire fondre la roche. Il est parfois la cause d'incendies de forêt.","Ses ailes lui permettent de voler à plus de 1 400 m d'altitude. Ce Pokémon crache du feu à des températures très élevées.",generation:1,image:15,type:7|type:8,type:11|type:16|type:18,6,/pokemon/generation-1/dracaufeu
7,Carapuce,7,"Quand il rentre son cou dans sa carapace, il peut projeter de l'eau à haute pression.","S'il se sent menacé, il rétracte ses pattes dans sa carapace pour se protéger et crache de l'eau.",generation:1,image:16,type:18,type:4|type:10,7,/pokemon/generation-1/carapuce
8,Carabaffe,8,"Il est considéré comme un symbole de longévité. On reconnaît les spécimens les plus âgés à la mousse qui pousse sur leur carapace.","Il se sert habilement de sa queue et de ses oreilles touffues pour garder son équilibre sous l'eau.",generation:1,image:17,type:18,type:4|type:10,7,/pokemon/generation-1/carabaffe
9,Tortank,9,"Il écrase ses adversaires de tout son poids pour leur faire perdre connaissance. Il rentre dans sa carapace s'il se sent en danger.","Les canons sur sa carapace tirent des jets d'eau capables de percer même de l'acier trempé.",generation:1,image:18,type:18,type:4|type:10,7,/pokemon/generation-1/tortank
10,Artikodin,144,"On raconte que ses belles plumes bleues sont faites de glace. Sa longue queue flotte au vent lorsqu’il vole au-dessus des monts enneigés.","Il possède le pouvoir de contrôler la glace. Selon les dires, il vivrait sur les sommets recouverts de neiges éternelles.",generation:1,image:19,type:12|type:8,type:17|type:7|type:4|type:16,5,/pokemon/generation-1/artikodin
11,Électhor,145,"On dit que ce Pokémon capable de contrôler la foudre installe son nid au creux des nuages d’orage noirs.","On raconte que lorsque ce Pokémon oiseau légendaire fait vibrer ses plumes, le frottement fait tomber la foudre instantanément.",generation:1,image:20,type:4|type:8,type:12|type:16,6,/pokemon/generation-1/electhor
