id,title,field_id,field_blue,field_red,reference-taxonomy_term-field_generation,reference-media-field_featured_media,reference-taxonomy_term-field_types,reference-taxonomy_term-field_weaknesses,author,slug
1,Bulbasaur,1,"There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.","While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",generation:1,image:10,type:10|type:14,type:7|type:15|type:8|type:12,5,/pokemon/generation-1/bulbasaur
2,Ivysaur,2,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.",generation:1,image:11,type:10|type:14,type:7|type:15|type:8|type:12,5,/pokemon/generation-1/ivysaur
3,Venussaur,3,"Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.","A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.",generation:1,image:12,type:10|type:14,type:7|type:15|type:8|type:12,5,/pokemon/generation-1/venussaur
4,Charmander,4,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",generation:1,image:13,type:7,type:11|type:16|type:18,6,/pokemon/generation-1/charmander
5,Charmeleon,5,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",generation:1,image:14,type:7,type:11|type:16|type:18,6,/pokemon/generation-1/charmeleon
6,Charizard,6,"It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.","Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",generation:1,image:15,type:7|type:8,type:11|type:16|type:18,6,/pokemon/generation-1/charizard
7,Squirtle,7,"When it retracts its long neck into its shell, it squirts out water with vigorous force.","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",generation:1,image:16,type:18,type:4|type:10,7,/pokemon/generation-1/squirtle
8,Wartortle,8,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.","It cleverly controls its furry ears and tail to maintain its balance while swimming.",generation:1,image:17,type:18,type:4|type:10,7,/pokemon/generation-1/wartortle
9,Blastoise,9,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.","The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.",generation:1,image:18,type:18,type:4|type:10,7,/pokemon/generation-1/blastoise
10,Articuno,144,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it. ","This Pokémon can control ice at will. Articuno is said to live in snowy mountains riddled with permafrost.",generation:1,image:19,type:12|type:8,type:17|type:7|type:4|type:16,5,/pokemon/generation-1/articuno
11,Zapdos,145,"This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.","Zapdos is a legendary bird Pokémon. It’s said that when Zapdos rubs its feathers together, lightning will fall immediately after.",generation:1,image:20,type:4|type:8,type:12|type:16,6,/pokemon/generation-1/zapdos
12,Moltres,146,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.","There are stories of this Pokémon using its radiant, flame-cloaked wings to light up paths for those lost in the mountains.",generation:1,image:21,type:7|type:8,type:18|type:4|type:16,7,/pokemon/generation-1/moltres
13,Chikorita,152,"In battle, Chikorita waves its leaf around to keep the foe at bay. ","A sweet fragrance wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",generation:2,image:22,type:10,type:7|type:8|type:12|type:15|type:1,5,/pokemon/generation-2/chikorita
14,Bayleef,153,"Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree.","The fragrance of this shoot makes people peppy.",generation:2,image:23,type:10,type:7|type:8|type:12|type:15|type:1,5,/pokemon/generation-2/bayleef
15,Meganium,154,"The fragrance of Meganium’s flower soothes and calms emotions.","In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",generation:2,image:24,type:10,type:7|type:8|type:12|type:15|type:1,5,/pokemon/generation-2/meganium
16,Cyndaquil,155,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry.","If it is tired, the flames splutter fitfully with incomplete combustion.",generation:2,image:25,type:7,type:11|type:16|type:18,6,/pokemon/generation-2/cyndaquil
17,Quilava,156,"Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air.","This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.",generation:2,image:26,type:7,type:11|type:16|type:18,6,/pokemon/generation-2/quilava
18,Typhlosion,157,"Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames.","This Pokémon creates blazing explosive blasts that burn everything to cinders.",generation:2,image:27,type:7,type:11|type:16|type:18,6,/pokemon/generation-2/typhlosion
19,Totodile,158,"Despite the smallness of its body, Totodile’s jaws are very powerful.","While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",generation:2,image:28,type:18,type:4|type:10,7,/pokemon/generation-2/totodile
20,Croconaw,159,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go.","Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",generation:2,image:29,type:18,type:4|type:10,7,/pokemon/generation-2/croconaw
21,Feraligatr,160,"Feraligatr intimidates its foes by opening its huge mouth.","In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",generation:2,image:30,type:18,type:4|type:10,7,/pokemon/generation-2/feraligatr
